Unnamed: 0,comments,Service
186,"On dirait que le challenge vous a réveillés hein
Saisissez les promos OM avant qu’elles ne finissent ohh",Orange Money
187,Donc orange money est supporteur,Orange Money
188,Le client Orange qui essaie de retenir son pass internet du mois,Orange Money
189,"Orange Money
c’est à cause de ça je mets pas mon argent sur Orange Money là !",Orange Money
190,On dirait service Orange Money à compris la situation d'actuelle heinnn!!!,Orange Money
191,Vinicius n'est pas beau comme ca.. vous mentez,Orange Money
192,Vous êtes les meilleurs,Orange Money
193,"Looollll le CM doit être madrilène
C’est pas possible",Orange Money
194,Orange connait,Orange Money
195,Forcément le directeur d'orange est realiste,Orange Money
196,Orange a vie,Orange Money
197,Le DG d'Orange Côte d'Ivoire est madrilèn c'est clair,Orange Money
198,"Orange
veut gâter",Orange Money
199,"Quelqu'un n’a qu'à critiquer
Orange Money
encore sous mes yeux,il ne va pas croire",Orange Money
200,Orange a fait fort. ( Belle image),Orange Money
201,Nous les supporters de Barcelone on va changer de puce.maintenant c'est weave et MTN on connaît,Orange Money
202,Actuellement pour moi est codé hein,Orange Money
203,C'est dosé cette fin d'année hein,Orange Money
204,Je veux déplafonné mon compte orange Money je fais comment?,Orange Money
205,"Je dis Orange ,DC vous n'allez pas rembourser mon argent depuis Août j'appelle seulement pour un virement que je devais recevoir sur mon IBAN qui n'est pas arrivé depuis vois me tournez seulement... C'est vrai que ce n'est pas beaucoup mais c'est mon argent et actuellement je suis piquer... Je vous demande pardon donnez mon argent oh...",Orange Money
206,J'arrive plus à prendre,Orange Money
207,Pourquoi il y'a pas ça ici au Cameroun,Orange Money
208,C'est pas petit réseau orange ci,Orange Money
209,"Orange
pourquoi m'empêchez vous de retirer l'argent de mon compte épargne ?",Orange Money
210,"Salut papa donc vous avez fréquenté avec ebinto, Murielle,koula , Monique,bazie et bien d autres wahou je suis en joies",Orange Money
211,Oui orange mais on a pas connexion on fait comment,Orange Money
212,Bien noté,Orange Money
213,On s'en va là-bas comme ça,Orange Money
214,C'est même pas un bon gbairai,Orange Money
215,Je sais que c'est Orange qui fait ça mais nous on dor pas on peut pas faire confiance à Orange,Orange Money
216,OM Pay c'est connerie on arrive même pas à se connecter,Orange Money
217,Ça sort hein fouaa c'est facile,Orange Money
218,"Thiago Wilfried Danon
ton morgor
Gabriel Uchenna Ajah
il se gbre pour daba seul",Orange Money
219,"C'est très facile
allons seulement",Orange Money
220,Ces fouaaaaa facile,Orange Money
221,Tchai evaw nous on connaît,Orange Money
222,JE RESTE AVEC L INITIATEUR DE CE MODE DE PAYEMENT EN COTE D IVOIRE,Orange Money
223,J'ai besoin d'aide...,Orange Money
224,C'est zoo inh mai sque vous avez OM PAY ses b inh,Orange Money
225,"Lors d’une grande famine, une femme Nzima découvrit de petits êtres dansant au rythme de tambours mystérieux. Le chef envoya des envoyés vérifier le phénomène, qui se répéta pendant sept jours. Les ancêtres expliquèrent que cette danse était un don des génies de la brousse pour protéger le peuple Nzima des calamités. C’est ainsi que naquit l’Abissa, symbole de protection, de paix et de cohésion.
Je suis appolonien
j'attends mon djai",Orange Money
226,"L'Abissa est une fête traditionnelle du peuple N'Zima, qui représente la célébration de leur nouvel an.",Orange Money
227,"Voici la bonne réponse
Félicitations aux gagnants
Nous vous avons écrit en privé
Tout le monde était fort
maintenant rdv à l’Abissa pour fêter",Orange Money
228,Bonjour svp comment ramener le reçu d une transaction effectuée,Orange Money
229,La fête traditionnelle chez le peuple n zima,Orange Money
230,Svp,Orange Money
231,L'abissa représente une fête traditionnelle chez les peuples N'Zima pour fêter un nouvel ans qui débute en octobre et fin novembre,Orange Money
232,En résumé : fête traditionnelle pour l nouvelles année,Orange Money
233,"au pays N'zima L'Abissa est une fête traditionnelle annuelle ,qui représente la purification, la réflexion et la réconciliation.",Orange Money
234,"L'Abissa représente pour les N'Zima une fête annuelle du Nouvel An, mais c'est surtout un moment de purification, de pardon, de critique sociale et de renouveau communautaire",Orange Money
235,"L’ABISSA en pays N’zima représente la célébration de la nouvelle année et c’est 1 moment de purification, de pardon, de critique sociale et de réflexion.",Orange Money
236,La fête traditionnelle chez le peuple N'zima,Orange Money
237,L'abissa est nue fête traditionnelles du peuple n'zima particulier à Grand-Bassam en Côte d'Ivoire elle présentait un moment clé pour faire le bilan de l'année écoulé l'abissa est un festival populaire qui célèbre des moment important et est un distance temps de réjouissance pour peuple n'zima,Orange Money
238,Quelqu'un ici peu me répondre ?,Orange Money
239,Fête traditionnelles du peuple n'zima pour la fête de nouvelle année à grand Bassam,Orange Money
240,La fête traditionnelle du peuple n'zima,Orange Money
241,La fête traditionnelle chez le peuple n'zima,Orange Money
242,C'est la fête traditionnelle du peuple n'zima qui représente la célébration du nouvelle année à grand Bassam,Orange Money
243,"L'Abissa est une fête traditionnelle du peuple N'Zima, qui représente la célébration de leur nouvel an et aussi un symbole de protection, de paix et de cohésion.",Orange Money
244,Ces une fête traditionnelle des akan,Orange Money
245,Toi tes un laté,Orange Money
246,Mais pourquoi n y a pas de bonus sur notre réseau Orange,Orange Money
247,Le big ced,Orange Money
248,Mon vieux toi te un laté,Orange Money
249,"Donnez à tout les apprentis gbaka oh
si c’est ça on sera d’accord avec vous même",Orange Money
250,C'est le son qui est en bas que nous on veut,Orange Money
251,bjr,Orange Money
252,"Orange Money
Depuis là vous faites plus jeu hein",Orange Money
253,"Genre je vais aller faire livraison et il vont payer l'argent de colis des gens sur Orange monney et vous allez prendre et me dire que j'ai parrainé quelqu'un pour identifier sa puce et cet dernier à prit crédit et ne veut pas payer dans moi je dois être retrancher c'est bien, mes collègues livreur faites attention hein",Orange Money
254,"j'ai fait un rechargement de OM a mon compte, j'ai été facturer, jusqu'à aujourd'hui mon compte n'a jamais été recharger, j'ai appelé plusieurs fois,réclamation sur sur réclamation, dans 2 jours ,apres dans 3 jours ,apres dans une semaine, je dis weaaah . Moi même recharger avec orange money plus jamais",Orange Money
255,Avec vos paiements qui ne passent pas alors qu'on a été débité et après réclamation rien là ?,Orange Money
256,"Sa fait 5 jours ,j'ai fait un recharge rechargement de OM a mon compte, j'ai été facturer, jusqu'à aujourd'hui mon compte n'a jamais été recharger, j'ai appelé appelé réclamation sur sur réclamation, dans 2 jours ,apres dans 3 jours ,apres dans une semaine, je dis weaaah . Moi même recharger avec orange money plus jamais",Orange Money
257,Avec O.M va pas croire,Orange Money
258,"JAMAIS POTO AVEC
Orange
.
En tt ka jè aimé.",Orange Money
259,"Bonjour
Orange
svp trouver une solution au agence qui continue de nous prélevé les 100 franc soit vous crée des point de retrait et embaucher des jeunes qui veulent travailler pour nous éviter l’arnaque de ses entreprises privé qui ne pense cas leurs ventre. Nous subissons tous l’inflation donc qu’ils ne fassent pas comme s’ils étaient les seuls.
Svp s’il continue de vous faire du chantage Ouvret des points de retrait et dépôt sécurisé pour qu’on puis venir faire nos retrait et dépôt. Cela vous reviendra moins chère d’embaucher des jeunes et ils font le boulot pour vous. Si vous est à cours d’idée j’ai des idée et solution pour ça merci.
Débarrasser nous des personne qui essaie de salir votre image.",Orange Money
260,Il a quel problème sur l'application Maxit l'option family data existe plus ou quoi,Orange Money
261,Merci a OM,Orange Money
262,"Je n'aime pas votre foutaise là hein...
Géré vous sinon je vais cassé votre puce
Je n'arrive pas à souscrire pass mix Appel via l'application max it sous prétexte que mon compte OM est inactif. Depuis quand ça commencé.
Pourtant j'ai de l'argent sur mon compte OM.",Orange Money
263,Vos partenaires comme BOP et IGP maltraitent les ressources ils font souvent 2 ou 3 mois sans payer les ressources,Orange Money
264,Orange Monney fait peur deh procédure pour annuler transaction erronée tu vas dire processus électoral,Orange Money
265,"Plus de 15min de ligne pour annuler une transaction faite par erreur et jusqu’à la rien n’est fait inh si le destinataire est un malhonnête c’est fini ORANGE sincèrement revoyez ce service et ne me dites pas qu’on peut annuler sur
MAXIT OU ORANGE MONNEY RIEN NE PASSE !
ET LE SERVICE CLIENT NE S’Y CONNAÎT MEME PAS ON ME DIT TROUVÉ UN RÈGLEMENT A L’AMIABLE AVEC LE DESTINATAIRE ERRONÉ",Orange Money
266,"D'un internaute
<<Allez vérifier le nombre de puces identifiées en votre nom. J'ai été surpris aujourd'hui qu'il y a 4 puces orange identifié en mon nom>>",Orange Money
267,bonjour j’ai été prélevé mais j’ai pas d’images,Orange Money
268,Svp pourquoi j’arrive pas à consulter mon compte sur l’application . On me met crée votre compte ???,Orange Money
269,"31 juillet j'ai payé la Box
Jusqu'à aujourd'hui j'attends toujours l'installation
Et il me disent qu'il doivent installer je sais pas si c'est poteau ou boîtier depuis la j'attends jusqu' aujourd'hui 26 septembre
ID 48266418",Orange Money
270,"27 septembre, mon anniversaire",Orange Money
271,Vous allez nous donner l'argent cadeau ??,Orange Money
272,Svp je n'arrive pas à accéder à mon compte depuis ce matin,Orange Money
273,Meilleure réseaux,Orange Money
274,"Je suis O.M
Et toi ?",Orange Money
275,"Je vous ai écrit, vous ne me répondez pas",Orange Money
276,"Burundi 1 : 4 Cameroun
@",Orange Money
277,3-0 pour la civ,Orange Money
278,1.0 POUR LA CÔTE D'IVOIRE,Orange Money
279,1-0 pour CIV,Orange Money
280,1-0 pour la CIV,Orange Money
281,3-1 pour la côte d'ivoire avec une passe décisive de Simon adingra,Orange Money
282,6 à 0 pour la Côte d'Ivoire,Orange Money
283,4-1 pour la Côte d’Ivoire,Orange Money
284,3-2 pour la côte d'ivoire,Orange Money
285,Match nul 2-2,Orange Money
286,Côte d’Ivoire 3- 1 burundi,Orange Money
287,1-0 pour la Burundi,Orange Money
288,3 à 0 Pour la CI,Orange Money
289,"2-0 pour la CIV 1ère Mi temps
3-1 pour la CIV Fin du match",Orange Money
290,1 -0 en faveur de la cote d'Ivoire,Orange Money
291,1 -0 pour les éléphants,Orange Money
292,"Félicitations à tous ! Vous n'avez pas démérité ! Mais le jeu c'est le jeu. Les éléphants ont gagné, et @Lecerveau a gagné aussi",Orange Money
293,3-0 pour la côte d'ivoire,Orange Money
294,3_1 pour la côte d'ivoire,Orange Money
295,"3#0 en faveur de la côte d'ivoire
toujours fier",Orange Money
296,4-2 pour la Côte d'Ivoire,Orange Money
297,1-0 pour la Côte d'Ivoire,Orange Money
298,Victoire pour le Sénégal,Orange Money
299,4-0 pour la CI,Orange Money
300,2-1 pour la Côte d’Ivoire,Orange Money
301,Bonjour ko sa va,Orange Money
302,4 pour la côte d'ivoire,Orange Money
303,3-0 pour la CI,Orange Money
304,"CIV
3 # Burundi
0",Orange Money
305,CIV 2-0 BURUNDI,Orange Money
306,Côte d’ivoire 4 - 0 Burundi,Orange Money
307,2 _0 pour ma cote d'Ivoire,Orange Money
308,4_0 pour la côte d'ivoire,Orange Money
309,"4-0, pour la côte d'ivoire",Orange Money
310,Ci 2-- Burundi 0,Orange Money
311,Hé ! Il reste 15min avant la fermeture des commentaires hein,Orange Money
312,4-0 pour la CIV,Orange Money
313,4-2 pour la CI,Orange Money
314,Wouhoooooooo !! On a gagné ! Le CM a fait la fête jusqu'à c'est maintenant il revient,Orange Money
315,Civ 2 Brd 01,Orange Money
316,3-0 pour la côte d'Ivoire,Orange Money
317,5-0 la manita pour cote divoir,Orange Money
318,CI 3-0 Burundi,Orange Money
319,2 - 0 civ but de pépé,Orange Money
320,2-0 pour la côte d'Ivoire,Orange Money
321,3-1 pour la ci,Orange Money
322,CIV 3 - 0 Burundi,Orange Money
323,Côte d’Ivoire 5-0 Burundi,Orange Money
324,2-1 pour la CI,Orange Money
325,4-0 pour la côte d'ivoire et puis adingra fera une passe décisive et pépé vas marquer au moin un but et aura aussi au moin une passe décisive,Orange Money
326,Côte d’Ivoire gagne sans encaisser de but en tout cas. Haller buteur,Orange Money
327,2/00 pour la côte d'ivoire,Orange Money
328,Cote d'ivoire 4 - 0 pour burundi,Orange Money
329,4-1 pour la CI,Orange Money
330,CIV 2#0 Burundi,Orange Money
331,4-0 pour la civ,Orange Money
332,2-0 victoire pour la ci,Orange Money
333,0-1 pour Burundi,Orange Money
334,3a0 pour ci,Orange Money
335,Match nul 0 but partout,Orange Money
336,Côte d’Ivoire 3-0 Burundi,Orange Money
337,4-1 pour la civ,Orange Money
338,Côte d’Ivoire 4-0 Burundi,Orange Money
339,0#0 dans le match,Orange Money
340,Côté d'Ivoire 6-0 Burundi,Orange Money
341,6-0 pour la Côte d'Ivoire,Orange Money
342,3-0 pour la Côte d'Ivoire,Orange Money
343,2-0 pour la civ,Orange Money
344,2-1 pour la Côte d'Ivoire,Orange Money
345,3-0 pour la côte d’ivoire,Orange Money
346,7#0 pour le Burkina,Orange Money
347,Civ 3 0 Burundi,Orange Money
348,3-0 pour la côté d'ivoire.,Orange Money
349,3 à 0 pour la CI,Orange Money
350,1_0 pour la CI,Orange Money
351,1pour la côte d'ivoire,Orange Money
352,Civ 4-0burundi,Orange Money
353,4-0 pour civ,Orange Money
354,3_0 pour la Côte d'Ivoire,Orange Money
355,Côte d’Ivoire 2-1 Burundi,Orange Money
356,Côte d’Ivoire 3-1 Burundi,Orange Money
357,4-1 pour la Côte d'Ivoire,Orange Money
358,4-2 pour la côte d'ivoire,Orange Money
359,1-0 pour la côte d'ivoire,Orange Money
360,2_1pour la côte d'ivoire,Orange Money
361,Civ4-1burundi,Orange Money
