,comments
174,C'est 50F que je reçois maintenant
175,"Demain c’est mon anniversaire oh
Wave Côte d'Ivoire"
176,Ça seulement c'est dôhi tchai
177,"Je vais faire distrack sur vous oh à cause de 50f l'homme reçoit beaucoup là
Wave Côte d'Ivoire
avec l'aide de
MTN Côte d'Ivoire"
178,Toujours moi c'est 100 f que je reçois pardonnez envoyé moi aussi 1000f un jour .
179,Mon plus gros cadeau c'est 1000.f. Actuellement c'est trop 250f 100f 50f
180,"Vous triez les numéros pour donner les cadeaux ou bien c'est comment ?
Toujours 50, 100f"
181,"Wave Côte d'Ivoire
je vais au studio comme ça pour faire Disstrack sur vous
la fête approche et vous ne nous donnez pas emprunt comme les autres"
182,Ehhh aléatoire la aussi hein
183,"Nous autres pas de chance
Wave Côte d'Ivoire
vous offres 50fr, 100fr à cause de vous le boutiquier se plein de moi"
184,Et y’a nous on gagne que les 50
185,Puis-je voir des transactions de plus de deux années ?
186,"Wave Côte d'Ivoire
moi mm je sais wave sort tjrs ds dos"
187,Moi même depuis 2 mai 2024 il mn donner 500f jusqu'aujourd'hui rien wave koi
188,Mensonge c'est kouadio gnamien qui planifie ça
189,Si wave na organisez un jeux de 200000 f il faut demantir vite
190,"50f
merci qu'à même"
191,"En tout cas dernièrement j'ai bénéficié de 1000 frcs après avoir pris du carburant, ce qui a porté le total de mes bénéfices à 5200 frcs...
Je continue toujours à effectuer mes paiements via wave espérant qu'une course de centaines de milles me seront restituée un jour"
192,Sérieux hein penser à récompensé vos meilleurs clients que nous sommes
193,"Hum
Wave Côte d'Ivoire
sa fait plusieurs que vous me dites desolé pas de cadeaux hein quand je paye avec l'application."
194,"Moi je suis décourager de vs hein tjr avk 50f ou 100f carburant c'est koi sa mm
Wave Côte d'Ivoire"
195,Ça fait un 2 mois que vous 50F seulement.
196,",ils ont parlé de cadeau.
Depuis 2013 je paie mes wés par wave, c'est bonne chance seulement on me souhaite.
J'ai bien dis 2013"
197,Moi je ne gagne que 50 f ou 100f
198,En tout cas moi j'ai déjà eu 10.000 un coup merci à wave côte d'ivoire
199,Je suis un commerçant comment faire pour créer mon compte wave pour commerçant
200,"Vraiment wave un peu, j'ai bien d'au moins 1000f , 50f là c'est pas affaire."
201,Si c'est pas 50 f c'est pas de chance
202,Chaque moment j'effectue des paiements je gagne rien comme bonus même
203,"Wave Côte d'Ivoire
a quand mon cadeau"
204,"Wave même j’ai l’impression que les 100f et 50f sont pour moi seul , jamais je vais avoir au delà"
205,"Wave Côte d'Ivoire
l'option pour les prêt là c'est comment ??
On attend encore oubien c'est pas en projet ??"
206,"Nous autres là vraiment
c'est 50frs ou 100frs ,ça fait que je m'intéresse plus ,j'ai enlever ma tête dessus ."
207,Moi c'est 100 frs seulement
208,Oooh quittez là-bas tchrr c’était pour nous blaguez au départ il encourageais avec maintenant depuis un moment. Ça fait combien de temps tout est 50 ou pas de chance maintenant ceux qui font rien de bon avec leurs compte c’est eux au moindre achat co 1m tchrr
209,Suivre
210,"Moi c'est 100 franc chaque fois, pufff"
211,Moi je ne suis même pas d’accord pour sa tout moi mes achats transactions ces sur Weve mais toujours 50f ou 250f
212,"Je veux le numero du DG de Wave je vais lui fait depot 10.000f .
Il travail trop bien.....
Vive Wave ......."
213,"C'est-à-dire que vous vous choissisez les compte pour faire vos kdo la, c'est nous qui avons droit au 25 et 50 c'est bien"
214,Même si je n'ai jamais reçu de récompense mais j'ai déjà confiance en wave
215,"Et y’a nous autres qui recevons que les 50fr à chaques cadeaux
eeeh aaah"
216,Hum le jour je vais gagner 100000fr j imagine pas
217,D'habitude avec les achats de 5mil 10mill ont me donne 100f hier achat de 44mil après 70mil mais j'ai rien reçu vous la quoi
218,"De 50fr à 100fr..
Desormais sa fait 5 fois d'affiler vous me dite bonne chance à la prochaine fois vraiment moi je ne vais plus scanner pour payer je vais retirer mon argent et payer mains
à mains"
219,"Ça peut sortir million comment
Aaaaa, c'est dohi !!!"
220,Deux jours il y a des arnaqueurs qui ont publié que vous donnez 200000 CFA gratuit
221,"Ça peut jahin se faire
, va dormir tranquillement même sans dohi on aime wave"
222,Attend wave donc si tu n'as pas connexion internet tu peux pas scanner pour payer les frais de ton achat
223,Mon Lass c’est Bakari j’ai reçu
224,Moi c’est 250f j’ai eu avec tout mes dépenses là hein
225,C’est dohi chez jour moi je scanne mais c’est les 50 vous n’avez pas de chance aujourd’hui
226,Comment postuler à wave ?
227,En tout cas merci beaucoup wave pour ce que tu fais pour nous
228,Que des cadeaux de 100f seulement nous sommes découragés
229,"Kpa toujours c'est 100f , oubien 250f"
230,Arrêter de me donner 50f comme cadeau j'aime pas hein
231,"J'ai un amie qui a eu 1 millions comme cadeaux , c'est WAVE
celle qui peut fait ça"
232,"Avec tous les payements je fais par wave j'ai reçu uniquement 50f fhumm a quand ma victoire
Wave Côte d'Ivoire"
233,Ma chère moi même pareil j’ai jamais eu plus de 500f en cadeau
234,Moi je ne reçois que des bons de réduction à hauteur de 250 pour les plats dans restaurants ...donnez moi djaii
235,Je suis fatigué des 100f
236,Moi même je suis découragé 50f tjr
237,Cacdeau on regarde visage pour donner la !!! C est dohi meme.
238,Moi j'ai reçu 50f entouka merci a wave
239,C'est dohi
240,"Wavo c'est comment
Wave Côte d'Ivoire
il"
241,Wave même vous êtes méchant envers moi deh tchiaaa 50f 100f
242,Moi c'est 100fr seulement on me donne je sais s'ils ont un problème avec moi
243,"Merci wave, j'ai reçu 250 aujourd'hui."
244,Ah nous on traine avec 50f eux ils regardent mouvement pour donner l'argent oh
245,"J'ai reçu la carte visa premier achat bien effectué merci
Wave Côte d'Ivoire
..."
246,"Cadeau vous triez les nums pour partager 50f à l'homme là mdr
Faites on va prendre crédit avec vous on est trop blessé"
247,"C'est quel wave
Wave Côte d'Ivoire
??? Parce que le wave que j'ai, si j'ai eu cadeau soit c'est 100 frs, soit c'est 250 frs"
248,A quand mon tour aussi eeeh good
249,Haaaaaa sérieux wave ... abuse heinnnnn dorénavant
250,"Bonjour Wave Côte d'Ivoire, merci de bien vouloir me répondre. À quand les prestations de prêts ?"
251,Le truc cest quon peux pas retirer
252,Vous triez les gens oubien moi ça fait au moins 12fois c'est 50 seulement je reçois
253,"Wave Côte d'Ivoire
pour mon prochain cadeau j'espère recevoir une très bonne surprise hein
j'ai confiance"
254,Ce sont les bons de carburant Est ce que tout le monde a voiture
255,"Wave à créer encore je suis avec vous deh ne me oublié pas hoo
Carte VISA WOW"
256,Pourquoi chez moi c’est seulement 50 f
257,"Wave Côte d'Ivoire
de parler ?"
258,"50fr 100fr ok ,merci wave cette énorme somme"
259,"quand c'est vous nous donnez 50 ou 250fr avec condition comment on peut dire à piéton de payer carburant et vous allez lui donner 250fr ahhhhhh wave
qui gère côté cadeau la je veux le rencontrer"
260,Moi les 300et 500 et si ça dépasse cela on me dit d'acheter carburant comme si j'ai voiture ou moto
261,"Moi je comprends pas pour moi là je paye ooooh je paye avec
Wave
c'est 50fr, 150, ou pas de chance, je vous ai fait quoi?"
262,Moi c'est 250f
263,Depuis la c'est 50 fr seulement moi je gagne ou bien pour moi c'est pas même wave que les autres.
264,Moi je gagne 50 seulement
265,"Moi je n'ai pas moto ni voiture toujours c'est bonus de station vous me donnez oubien vous m'avez vue scanner une fois dans une station hein
Si j'ai trop eu c'est Togo"
266,Wave toujours fort que Real Madrid
267,"C’est nous les bahi malgré tout si
Wave Côte d'Ivoire
m’a trop donné c’est tu auras plus de chance la prochaine fois"
268,Moi depuis je gratte la c’est 50f seulement
269,"Wave Côte d'Ivoire
moi je veux savoir si les xartes visa là sont disponibles physiquement ?"
270,"Non deux vous allez m’expliquer comment ça marche cette histoire de cadeau , moi je suis arrivé jusqu’au niveau 154 mais chaque fois c’est 50 ,100 , 250 fr je reçois la plus part des temps c’est pas de chance tchai"
271,"Merci
Wave Côte d'Ivoire"
272,Ces avec qui vous joué même jusqu'à ya des coin où on me dis pas de chance a cause de cadeaux je garde plus liquide sur moi tous ces wave cadeau 50fr 100fr ces game de quoi
273,Achat où tu vides ton compte on te dis pas de chance ou on te donne cadeau 100f la c'est de ça vous parlez
274,"C’est réel, nouveau boss
Wave Côte d'Ivoire
ton merci ne finira pas."
275,"Kpor moi
Wave Côte d'Ivoire
est entrain de me décourager avec 50 francs 100 francs depuis j'utilise pour les achats rien de bon"
276,"LA RUBRIQUE CADEAUX EST INUTILE SI C'EST POUR GAGNER 50Fr .
WAVE, SOYEZ SÉRIEUX."
277,Moi j’ai fait un achat de 35000f sur wave et j’ai reçu un cadeau de 100f
278,Vous êtes très méchant je paye pratiquement tous sur et sais 50 je reçois comme cadeau mieux vous ne donnez pas tchrrrr
279,Eeeeee Allah depuis moi c'est 100f vous m’envoyer seulement je vous guette wave ...
280,Modia 50F là c'est ça qui est quoi
281,"Merci
Wave j’ai reçu la somme de 10000 fr hier"
282,j'ai eu 23mil oh entour-car Merci WAVE
283,Moi je reçois plus 50 et 100frs
284,C'est pas juste
285,à quand mon tour oh
286,"Le meilleur moment pour avancer vers vos rêves, c'est maintenant.
Bonjour...."
287,Maintenant c'est devenu 50f oooh huuumm
288,Moi je mérite que 50f ?
289,Plus pertinents
290,Comment on fait pour récupérer l argent de ce cadeaux ?
291,Ahan mais si je fais pour dépôt 2m aujourd'hui je peux grater nn
292,Forcé je vais avoir pour moi un jour !
293,Comment faire pour avoir cadeau là
294,"Il faut être à grand niveau pour gagné gros ou s'est aléatoire ?
Wave Côte d'Ivoire"
295,"Moi je fais tout mes paiements avec wave c'est 100f seulement j'ai eu mon compteur CEI c'est wave canal c'est encore wave
Wave Côte d'Ivoire
siencé"
296,"Vous ciblez des gens qui ressemblent aux fortes sommes et nous aux miettes non ?
Et je n'ai pas encore reçu ma carte prépayée. Vous la quoi je sens que.... Fhmm"
297,"Moi je ne reçois jamais rien, toujours désolé."
298,j'ai payé capote chez le boutiquier par wave zéro cadeau
299,"Moi je comprends plus rien dans affaire de cadeau là, moi, depuis ça à commencer, c'est toujours 50f pourtant je fais mon effort"
300,"Wave Côte d'Ivoire
moi c'est 50fr seulement vous me donner"
301,Wep le CM tu prend ton travail au serieux hein
302,Moi mem ces 50f hinn 10 000 la est vers ou comme sa
303,Chacun à sa chance moi même j'ai des amis qui ont reçu 10k
304,"Wave Côte d'Ivoire
Merci wave"
305,"Wave Côte d'Ivoire
bonjour, j'ai reçu ce message par sms .c'est de l’arnaque je suis rentré dans le lien en bleu pour juste voir, ils m'ont demandés d’inscrire mon numéro
en même temps je suis ressortie Net"
306,"Merci
Wave Côte d'Ivoire
pour ma carte Visa c'est déjà grand cadeau pour moi."
307,"J’ai eu 10.000 une fois je n’y croyais même pas.
Vous êtes les meilleurs
!"
308,Mais moi c'est toujours 50f que je gagne seulement ahiiii mais qu'est ce que sais Wave
309,Depuis moi je cherche 100.000 rien heee mais sa viendra je crois en wave
310,Wave merci j ai recu ma carte
311,"Je rentre dans mon appli Wave et bimmm, j'ai ma carte visa Wave
Infiniment merci à Wave"
312,Moi j’ai trop reçu 100f sur ce côté là seulement Wave dort trop
313,C’est réel mais moi toujours 100f
314,"Merci à
Wave Côte d'Ivoire
j'ai reçu ma carte visa"
315,Qui fixe les cadeaux de Wave même ?
316,Moi je reçois mais ce son vos conditions la ki me tue je dois payé carburant d'abord avant ou allé au restaurant ou au prochain payement de taxi tout ça pou koi vous voulez donnez donne en même temp et point la je sui grave énervé de vos conditions
317,Comment sa se joue ?
318,"Je suis fatigué de votre bonus carburant j’ai pas d’engins (voiture ni moto)
J’ai besoin d’argent eeh"
319,"Wave Côte d'Ivoire
moi j'ai une fois reçu 5000f sinon pour les autres 1000f 500f et beaucoup de 50f
fhummm en tout cas merci pourtant j'utilise ça pour mes transactions"
320,Pour moi sa été 250f
321,Non hein wave je suis fâchée même 2 fois successivement je reçois une prochaine fois
322,Moi je recois plus les kdo
323,Wave il sont très gentils
324,C'est 100f vous donnez à l'homme seulement comme si je vous ai dit que je voulais acheter Popito
325,Moi même je faire plus d’achats c’est 500fr on m’envoie comme bonus
326,Suivre
327,Wave moi je ne gagne plus de cado deh Wai c'est fort
328,Moi je perds seulement
329,Bjr wave ci comment recharger transfert unité a partir de ta carte
330,Merci wave je viens de recevoir ma carte virtuelle
331,"Lui là c'est le bon petit de
Wave Côte d'Ivoire
e, sinon nous autres..."
332,"Donc ces a nous que wave faire malin maintenant depuis que cette application est venu j'ai laissé orange monney,MTN monney, Moov monney et ces 100f ils m'ont donné comme cadeau"
333,"Wave Côte d'Ivoire
Merci beaucoup"
334,L’homme n’a pas voiture même vous donnez djai de carburant ah tchai
335,Moi j'ai gagné 650 je peux pas retirer
336,Je me débrouille avec les 50 fr ici
337,"Tchai moi j'ai fait c'est togo seulement on m'a donné. Yai pas aimé hein
j'espère juste qu'un jour je vais toucher le gros lot"
338,"Wave Côte d'Ivoire
vous avez finir avec me donner 50 fcfa , je vous ai faire quoi ?"
339,Toujours c'est 100f seulement tchai
340,Wave est trop méchant sur moi... Par an je gagne seulement 50f comme bonus malgré que j'effectue tout sur wave.
341,Wave stp tu viens quand Guinée Conakry
342,Wave ci c'est bon comme ça je ne veux plus de cadeau je suis fatigué des 50f
343,Souvent on te dis pas de chance enlever vos jeux dans mon wave je plus cadeaux si c'est pas 5f c'est 100f foutaise
344,Comment faire pour avoir la carte visa sur wave ?
345,"A quand ma victoire
Deux fois je gratte on dit je n'est rien gagné"
346,Je veux faire vocal
347,"Donc c'est moi je ressemble à 50fr quoi Wave ????
Merci beaucoup"
348,"En tout cas j'espère,si non mon gros cadeau c'est 250"
349,"Moi mon pingouin est malade
J'ai trop reçu c'est 150 cf"
350,Tu a fait que je suis aller regarder pour moi
351,Pour nous autres c'est 5f 50f ou 100f un manque de respect monétisé
352,salut
353,Moi je sais pas comment utiliser la carte virtuelle
354,"Merci
Wave Côte d'Ivoire
d'avoir activé ma carte, je suis très heureux"
