Unnamed: 0,comments,Service,clean_sentence,sentiment,cluster,nb_mots,x,y
38,"À quoi Bon à Un homme de gagner le monde et perdre Son ame, aspirer à devenir une personne très important dans la société c'est devenir entrepreneur, sportif, artiste, ingénieur ou politicien, riche célèbre, c'est bien et c'est Bon mais, Mon frère ma sœur ou passera tu l'éternité a Enfer ou au paradis, la Bible declare que nous avons une seule vie ici sur terre et après viens le jugement, j'ai une très bonne nouvelle à t'annoncer la Bible declare qu'il n'y point de condamnation en ce qui sont en Jésus Christ, que Celui qui crois n'es point juger,il est passé à la Mort à la vie éternelle, Celui qui marche avec Lui ne marchera jamais dans les tenebre mais dans la lumière, Les ténèbres représente l Enfer et Les œuvres de Satan, et il est le chemin la vérité et la vie nul ne vient Au paradis que par lui,l accepté c'est faire le meilleur des meilleurs des choix, c'est Encore le vrai investissement sur et en récompense la vie éternelle, une vie sans fin Ni maladie Ni chagrin, ni vieillesse, c'est ce que tout homme doit faire, Car la vie sur n'es que vanité et poursuite de vents,car il est doux et bon et amour.",Orange Money,bon homme gagner monde perdre ame aspirer devenir important société devenir entrepreneur sportif artiste ingénieur politicien riche célèbre bien bon frère sœur passer éternité enfer paradis bible declare vie ici terre vien jugement bon nouveau annoncer bible declare point condamnation jésus christ croire point juger passer mort vie éternel marche marcher jamais tenebre lumière ténèbre représenter enfer œuvre satan chemin vérité vie venir paradis accepter faire meilleur meilleur choix vrai investissement récompense vie éternel vie fin maladie chagrin vieilless homme faire vie vanité poursuite vent doux bon amour,POSITIVE,0,88,-0.06096354361463473,-0.027965613192726318
39,J’ai un peu mal à la tête,Orange Money,mal tête,NEGATIVE,0,2,-0.057335500848916636,-0.03855456869188843
40,"Miedjia
fuego pourquoi tu fais pas ça",Orange Money,miedjia fuego,NEGATIVE,0,2,-0.055647627482386317,-0.03598229565330306
42,D'accord atasaaaa,Orange Money,accord atasaaaer,POSITIVE,0,2,-0.0551364475257529,-0.03521363162686194
43,Donner Euphon,Orange Money,donner euphon,POSITIVE,0,2,-0.04097176066075465,-0.04208314555897462
44,"Vieux
Miedjia
, on dirait que tu n’as pas pour habitude d’acheter Doliprane lbs hein façon elle insiste là",Orange Money,vieux miedjia dire habitude acheter doliprane lbs hein insister,NEGATIVE,0,9,-0.05464174376918988,-0.031519519248861066
45,Merci vraiment,Orange Money,vraiment,POSITIVE,0,1,-0.05177109481567452,-0.02565304241175161
46,Elle le connait,Orange Money,conner,POSITIVE,0,1,-0.05442329218953904,-0.027663489355802942
47,"Client habituel, sinon comment il peut dire Doliprane et elle va lui donner caoutchouc",Orange Money,client habituel doliprane donner caoutchouc,POSITIVE,0,5,-0.05199151507359803,-0.03355581286712101
48,C'est capole il a pris quoi ?,Orange Money,capole prendre,NEUTRAL,0,2,-0.059808757214805705,-0.03224476178040928
49,Pfff,Orange Money,pfff,POSITIVE,0,1,-0.05517401166682552,-0.03263921064155494
50,"La nouvelle Pharmacie les colombes
de Bingerville Akouai santaï. Sur la route de akandjé",Orange Money,nouveau pharmacie colombe bingerville akouai santaï route akandjé,POSITIVE,0,8,-0.05414886278641098,-0.03370605724016834
52,Ah oui je confirme,Orange Money,oui confirmer,NEUTRAL,0,2,-0.05884468841606103,-0.02175704832835398
53,Remettez mes méga,Orange Money,remettez méga-octet,POSITIVE,0,2,-0.05366268099022075,-0.03318008856047425
54,Sms n'est pas en ligne hein,Orange Money,sms ligne hein,NEUTRAL,0,3,-0.050465000857493586,-0.021410134077956916
55,Maxi mois de Bonus,Orange Money,maxi mois bonus,POSITIVE,0,3,-0.06116467281709472,-0.031170189023244664
56,Des bonus,Orange Money,bonus,POSITIVE,0,1,-0.06262527665314757,-0.03563702752405616
57,"Bonus
Sos
Sms",Orange Money,bonus sos sms,POSITIVE,0,3,-0.05835549124063692,-0.035122040121420256
58,"Loi mois. , pin , pine,seul,mais, valeur, SOS , peau",Orange Money,loi mois pin pin valeur sos peau,POSITIVE,0,7,-0.0552445980694736,-0.030115970578443785
59,"Bonus
Sms
Sos
Canal plus
Francisca Mn Zouzoua
Chantre Franck Anderson
Francisca Lohoues
Françoise Bénie",Orange Money,bonus sms sos canal francisca zouzoua chantre franck anderson francisca lohoues françoise bénie,POSITIVE,0,13,-0.057884856331688134,-0.03515790045827517
60,"Bonus, SOS, SMS",Orange Money,bonus sos,POSITIVE,0,2,-0.058569250704072005,-0.035450461269988916
61,C'est dohiiii,Orange Money,dohiiii,NEUTRAL,0,1,-0.051871959412641014,-0.03167640228432689
62,Canal plus,Orange Money,canal,POSITIVE,0,1,-0.05243294766174713,-0.0319449774549318
63,MAXI DE BONUS,Orange Money,maxi bonus,POSITIVE,0,2,-0.05961239078592486,-0.035713220211331595
64,"Mauvaise qualité de connexion
Maffffff",Orange Money,mauvais qualité connexion maffffff,NEGATIVE,0,4,-0.06027191175362914,-0.026738061885484728
65,Orange Money aussi daiii… tu cherches palabre c’est ça hein,Orange Money,orange money daiii cherche palabr hein,NEGATIVE,3,6,-0.17777780472670504,0.4739641292747958
66,Orange vous êtes méchant,Orange Money,orange être méchant,NEGATIVE,3,3,-0.09854499359178748,0.13562574272655367
67,Je me suis abonné en même temps car je suis pour le Real Madrid,Orange Money,abonner temps real madrid,NEGATIVE,0,4,-0.0555301772817125,-0.024390768232618376
68,Accroche toi à tes promos OM sans relâche comme ce mec,Orange Money,accroche promo relâche mec,POSITIVE,0,4,-0.054841406134531985,-0.02868009301924966
69,C'est comme ça Orange est attachée à nos crédits et connexions,Orange Money,orange attacher crédit connexion,POSITIVE,3,4,-0.11524620295775764,0.19100411592960803
70,Désabonnement les barcelonais...CM incompétent,Orange Money,désabonnemer barcelonais incompéter,NEGATIVE,0,3,-0.05219720682272321,-0.028864220727462083
71,Qui a rendu mon vini joli cohen ??? Non ihn,Orange Money,rendre vini joli cohen non ihn,NEGATIVE,0,6,-0.053312850595904564,-0.03199910863033057
72,hala Madrid Orange le seul réseau intègre,Orange Money,hala madrid orange réseau intègre,POSITIVE,0,5,-0.09429891384901168,0.09870656936014353
73,"Maintenant toute ma famille pour ORANGE: le meilleur réseau de téléphonie mobile ! Même si le diable te tire en arrière, accroche-toi à tes objectifs !",Orange Money,famille orange meilleur réseau téléphonie mobile diable tire arrière accroche objectif,POSITIVE,0,11,-0.08043859585473068,0.06209535806512132
74,"Pedri a beau tirer le maillot de Vini Jr, mais n'a pu l'empêcher de servir ses coéquipiers pour la victoire finale. Les barcelonais ne peuvent donc tirer en arrière une entreprise comme Orange.",Orange Money,pedri beau tirer maillot vini empêcher servir coéquipier victoire final barcelonais tirer arrière entreprise orange,NEGATIVE,0,15,-0.07283030475113852,0.03274925897560816
75,"Eh ouais, j'ai reçu un pass surprise d'intérêt illimité et appel le mois dernier, c'etait trop top. Mercii",Orange Money,ouai recevoir pass surprise intérêt illimité appel mois dernier trop top mercii,NEGATIVE,0,12,-0.052358334554907515,-0.032689466015198516
76,"C'est finir plus jamais je vais souscrire sur orange
.",Orange Money,finir jamais souscrire orange,NEGATIVE,3,4,-0.08904685253809984,0.10403482233112
77,Il n'ont rien vu encore Hala Madrid !!!,Orange Money,rien hala madrid,NEGATIVE,0,3,-0.057596387525855705,-0.026674526575158404
78,Vous n aurez plus d abonnés orange ok continuez….,Orange Money,avoir abonné oranger continuer,NEGATIVE,0,4,-0.06809554137880894,-0.018517200548910883
79,"Tout le monde est devenu comédien dans pays là
Si tu veux te jouer les sages, vas-y BAGNON",Orange Money,monde devenir comédien pays veux jouer sage bagnon,POSITIVE,0,8,-0.05822697367551594,-0.033051055400318205
80,MT M est la meilleure SIM ￼du monde,Orange Money,meilleur sim monde,POSITIVE,0,3,-0.05051676039684938,-0.025562294384214077
81,"Vinicius n’est pas jolie comme ça, n’exagérez pas heinnn",Orange Money,vinicius joli exagérer heinnn,NEGATIVE,0,4,-0.05407125843713552,-0.03339814137241737
82,Vísca barçaaaaaaa à vie,Orange Money,vísca barçaaaaaaa vie,NEGATIVE,0,3,-0.04983508330584181,-0.02288094034312549
83,C'est le nom de Pedri qui est gâté alors qu'il voulait juste faire comme ses ancêtres MODRIC et KROSS,Orange Money,nom pedri gâté vouloir faire ancêtre modric kross,NEGATIVE,0,8,-0.05647624839034126,-0.04406479842545704
84,"Jusqu’au 31 , nonnn on ne dois en aucun cas raté ça",Orange Money,nonnn devoir aucun cas rater,NEGATIVE,0,5,-0.056367568298694125,-0.029426317076614514
85,"Le challenge est lancé
ils sont foutu les barcelonais ….",Orange Money,challenge lancer foutre barcelonais,POSITIVE,0,4,-0.05338894540546348,-0.0321095793429449
86,Et c'est comme ça orange à attraper mon coffre fort,Orange Money,oranger attraper coffre fort,POSITIVE,0,4,-0.07721307846175433,-0.031014308700178995
87,Hala madrid,Orange Money,hala madrid,POSITIVE,0,2,-0.05621848840522369,-0.030118465460891114
88,"Le réseau qui m'a dépouillé
sinon je serai déjà millionnaire
à l'heure qu'il est...",Orange Money,réseau dépouiller être millionnaire heure,NEGATIVE,0,5,-0.0663173728339791,-0.007651545179341305
89,"Orange
aussi est madrilène
OM CI le
des ivoiriens bât plus fort",Orange Money,orange madrilène ivoirien bât fort,NEGATIVE,3,5,-0.1111692898873685,0.12473131165832234
90,Respecter len niou quand même,Orange Money,respecter len niou,POSITIVE,0,3,-0.054301349018194056,-0.033672055433245765
91,"CIE, et Om d’abord
on continue seulement",Orange Money,cie continuer,POSITIVE,0,2,-0.056453051597521134,-0.03298979031961963
92,La fierté de voir ORANGE MONEY supporteur du Real Madrid,Orange Money,fierté voir orange money supporteur real madrid,POSITIVE,3,7,-0.11748255124808268,0.2154558017756997
93,CM es-ce que tu sais que ton DG est barcelonais ?,Orange Money,sai barceloner,NEGATIVE,0,2,-0.05283084580151467,-0.033865222235094576
94,Le meilleur réseau orange,Orange Money,meilleur réseau orange,POSITIVE,3,3,-0.10752263707776628,0.16323114771676012
95,"Orange meilleur réseau de tous les temps
pona promos OM tina tiii
￼",Orange Money,orange meilleur réseau temps pona promo tina tiii,POSITIVE,3,8,-0.10007183674135495,0.13048015607796287
96,Vous allez faire je vai jetê ma pus orang..vous les gar de orang vous supporté real les voleur..moi je suis barça et jai trois pus orang que je rechage 15mille sur chaque pus par mois..alor si vous contunie je jetê votre pus pour prendre mtn,Orange Money,aller faire ver jetê pus orang gar orang supporter real voleur barça jer pus orang rechage pus mois alor contunie jetê pus prendre mtn,NEGATIVE,0,24,-0.05663375633407218,-0.029743831808560474
97,J'adore trop les ivoiriens ouais,Orange Money,adorer trop ivoirien ouai,POSITIVE,0,4,-0.05943437262252319,-0.03899981942959216
98,"Max Losseni Ouattara
bonne semaine à toi",Orange Money,max losseni ouattara bon semaine,POSITIVE,0,5,-0.0633446856064758,-0.028799935047749668
99,Je me désolidarise de Orange,Orange Money,désolidariser orange,NEGATIVE,3,2,-0.20793243687098587,0.5479140321993093
100,Tu n'a pas honte pour tirer le maillot de vunichit,Orange Money,hont tirer maillot vunichit,NEGATIVE,0,4,-0.05471514585587743,-0.032320174511113804
101,Ok a demain pour le mardi bonus,Orange Money,demain mardi bonus,NEUTRAL,0,3,-0.05936986549485628,-0.03351323932443888
102,Non mais le CM de OM est méchant,Orange Money,non méchant,NEUTRAL,0,2,-0.05442016037241868,-0.02932141567710806
103,"Le Marketing
... J'adore",Orange Money,marketing adorer,POSITIVE,0,2,-0.05891759371666754,-0.03700378721432262
104,"Y a plus débat
c’est meilleur challenge",Orange Money,débat meilleur challenge,POSITIVE,0,3,-0.052963121881007026,-0.018852501754894262
105,J'adore ce réseau,Orange Money,adorer réseau,POSITIVE,0,2,-0.07207915136443664,-0.015823380778263837
106,CM d’orange a grandit à yop forcément,Orange Money,oranger grandir yop forcément,NEGATIVE,0,4,-0.06825152523918483,-0.02126164751345183
107,Ouais le challenge est fooort,Orange Money,ouais challenge fooort,POSITIVE,0,3,-0.05296472591091787,-0.03436294511180636
108,VIDÉO LÉGER POUR ORANGE,Orange Money,vidéo léger orange,NEUTRAL,3,3,-0.11754456801203253,0.2122768045600641
109,"C'est pourquoi j'aime
C'est pour la vie",Orange Money,aimer vie,POSITIVE,0,2,-0.053100991758137754,-0.028007908486464846
110,Il n’y a plus de matures sur la planète terre orange,Orange Money,mature planète terr orange,POSITIVE,3,4,-0.11096580560561778,0.18515721058289472
111,"Le jour on va mettre la main sur vous dans affaire de connexion la, vous n'allez pas croire wallaye",Orange Money,jour mettre main affaire connexion aller croire wallaye,POSITIVE,0,8,-0.06070600867700864,-0.033254308837089366
112,C’est fini entre moi et Orange Money aujourd’hui donc vous êtes madrilènes,Orange Money,finir orange money être madrilèner,NEGATIVE,3,5,-0.14791582410204768,0.3541164172681999
113,"Façon ils ont attendu leur petite victoire là
weeeh",Orange Money,petit victoire weeeh,NEUTRAL,0,3,-0.04995479697654834,-0.030736153529099763
114,Cette image ci,Orange Money,image,POSITIVE,0,1,-0.055235124061180293,-0.03134233098710911
115,"Donc orange money côte d'ivoire est supporter de Real de Madrid.
Ok bien noté !",Orange Money,orange money côte ivoire supporter real madrid bien noter,NEUTRAL,3,9,0.06492545233675935,0.268694809411583
116,Attention les barcelonais vont changer le réseau,Orange Money,attention barcelonais changer réseau,NEGATIVE,0,4,-0.06193923463829128,-0.017725429433116707
117,J'espère bien que tu vas terminer ce que tu es dedans là,Orange Money,espérer bien terminer,POSITIVE,0,3,-0.05323659159155939,-0.030900011353286957
118,Méfié vous hyn orange!,Orange Money,méfié hyn orange,NEGATIVE,3,3,-0.11216061968959144,0.1957607969826449
119,Belle inspiration,Orange Money,belle inspiration,POSITIVE,0,2,-0.05368710749940944,-0.03126557329054967
120,Il voulait savoir si son mayo est original,Orange Money,vouloir savoir mayonnaise original,POSITIVE,0,4,-0.049506653997270424,-0.04102583835320031
121,"Jarl Lüksson
un bon CM doit avoir une bonne dose d'immaturité
.",Orange Money,jarl lüksson bon bon dose immaturité,POSITIVE,0,6,-0.05667162007145982,-0.034226650651089006
122,"C’est fini je laisse la puce orange
et tous mes amis barcelonais aussi plus de 5.000.000",Orange Money,finir laisse puce oranger ami barcelonais,NEGATIVE,0,6,-0.06357673361105735,-0.0157912806247793
123,Mtn meilleur réseau,Orange Money,mtn meilleur réseau,POSITIVE,0,3,-0.06454824773938207,0.006856887523202779
124,"Où est tigo ??
J'étais au village...",Orange Money,tigo village,POSITIVE,0,2,-0.05597272027319425,-0.03139159041014346
125,J’avais même pas un compte orange money mais dorénavant je serais tout à vous,Orange Money,compte oranger money dorénavant être,NEGATIVE,3,5,-0.10421351710472816,0.11885580304514062
126,Vous allez faire les suporteur du baça auront honte de souscrire,Orange Money,aller faire suporteur baça hont souscrire,NEGATIVE,0,6,-0.059334244028089726,-0.035434786174102756
127,Tchè moi j'ai besoin de crédit hin orange je suis mâle blessé,Orange Money,tchè besoin crédit hin orange mâle blesser,NEGATIVE,3,7,-0.08860502598990391,0.10489260516767313
128,Cette fois-ci vous avez pris mon cœur,Orange Money,fois avoir prendre cœur,POSITIVE,0,4,-0.055683854127240244,-0.02944842020240463
129,"Donc
Orange Money
est imature aussi quoi",Orange Money,orange money imature,POSITIVE,3,3,-0.2572354073672176,0.7704486735720331
130,Faut reconnaître le CM d’orange c’est un 10,Orange Money,faut reconnaître oranger,NEUTRAL,0,3,-0.06642435049311284,-0.023237447119771788
131,Vous venez de perde un client infidèle,Orange Money,venir perde client infidèle,NEGATIVE,0,4,-0.05962895280177792,-0.025982513492911273
132,Meilleur réseau du monde.,Orange Money,meilleur réseau monde,POSITIVE,0,3,-0.06348584813994579,-0.001485425152121755
133,"Rémy Djamouss
je suis sur le Community Manager, ça devrait être un vrai poto, madrien dur
chapeau à lui",Orange Money,rémy djamouss community manager devoir vrai poto madrien dur chapeau,POSITIVE,0,10,-0.05826047521196686,-0.030848647109709165
134,Le pays même n’est pas concentré même CM de CIE est rentré dans sa kpaa,Orange Money,pays concentrer cie rentrer kpaa,NEGATIVE,0,5,-0.05641167296301413,-0.028365323756853196
135,"Atassa
je commence a vous aimez hein.",Orange Money,atassa commencer aimer hein,POSITIVE,0,4,-0.05126379383936141,-0.02576490992481335
136,Hum lui qui gère la page c'est un madrilène,Orange Money,hum gérer page madrilène,NEGATIVE,0,4,-0.056935339569639164,-0.030870529224377347
137,Je ne pense pas que le CM d'orange soit concentré,Orange Money,orange concentrer,POSITIVE,3,2,-0.11675336683655023,0.19906025682601458
138,"OM que je connaissais etait une institution très respectueuse et responsable mais celui-là est une honte, très irresponsable",Orange Money,connaître institution respectueux responsable honte irresponsable,NEGATIVE,0,6,-0.054386522018207165,-0.03498646604879034
139,Y’a sa entre nous quoi orange ?,Orange Money,oranger,POSITIVE,0,1,-0.08466028590075367,-0.00022834348822919705
140,"C’est pour cela moi j’aime
Wave Côte d'Ivoire
la eux au moins sont barcelonais.
Orange Maudia",Orange Money,aimer wave côte ivoire barcelonais orange maudia,POSITIVE,1,7,0.38068705895335325,0.27089342880707107
141,"Nous sommes plus nombreux qu'eux dans planète là tieeee ils peuvent rien créer
Orange
dormez bien #HalaMadrid",Orange Money,être planète tieeee rien créer orange dormir bien halamadrid,NEGATIVE,3,9,-0.09506784392454531,0.10843253049399428
142,Cette affaire va vraiment très loin,Orange Money,affaire vraiment loin,NEGATIVE,0,3,-0.04798662071992555,-0.038705710894221194
143,Si orange money même à confirmer que Barça vaut rien.qui sommes nous madrilais pour douter encore,Orange Money,oranger money confirmer barça valoir être madrilai douter,NEGATIVE,0,8,-0.09813249209654122,0.09810441585005332
144,Orange a mauvais fond dèh !!!,Orange Money,orange mauver fondre dèh,NEGATIVE,0,4,-0.08834350045281485,0.09918771633641446
145,"Hala Madrid
Oooh ça c'est quoi ça",Orange Money,hala madrid oooh,NEUTRAL,0,3,-0.055502233667087265,-0.030656802867379106
146,Le photographe qui a pris cette photo est probablement maintenant millionnaire,Orange Money,photographe prendre photo probablement millionnaire,NEGATIVE,0,5,-0.05624722956156521,-0.0350663957142432
147,Orange est rentré dans la danse d'attrapéralenti,Orange Money,orange rentrer danse attrapéralenti,NEGATIVE,3,4,-0.09626679109565449,0.1410090488685559
149,Des demain je m'en vais retiré mon argent je fais jamais confiance à quelqu'un qui supporte Réal Madrid,Orange Money,demain retirer argent jamais confiance supporter réal madrid,NEGATIVE,0,8,-0.06206310354453694,-0.01621712356884302
150,"Quand le Barça va gagner contre le real j'espère que vous ferez la même chose hien.... ???
Sinon c'est plus du marketing, c'est de la préférence. Ça n'a pas sa place dans le business.",Orange Money,barça gagner contre real espérer faire chose hien marketing préférence place business,NEGATIVE,0,12,-0.05457810745068165,-0.03333732582959034
151,Ils sont en ce moment au bord de mer de Libreville,Orange Money,moment bord mer libreville,NEGATIVE,0,4,-0.05762761621529936,-0.03177700780931675
152,"Lamine Yamal : le talent n’excuse pas l’imprudence
Lamine Yamal n’est pas un extra-terrestre, c’est un joueur talentueux. Mais il faut le dire haut et fort : l’humilité ne se négocie pas, elle s’impose quand on veut durer au plus haut niveau.
Son talent est immense, son avenir est prometteur, mais le talent sans sagesse finit toujours par se retourner contre son propriétaire.
Ses récentes déclarations sur le Real Madrid ne traduisent pas la confiance, mais plutôt une certaine immaturité et une dose d’imprudence. Ce n’est pas en crachant sur ses rivaux qu’on prouve sa grandeur.
Il ressemble à cet élève très intelligent, mais impoli, qui pense que ses bonnes notes le mettent au-dessus des règles. Or, l’intelligence sans respect n’est qu’arrogance.
Même ses maîtres à Barcelone, ceux qui l’ont formé et protégé, n’approuvent pas ses sorties médiatiques. Pourquoi ? Parce qu’ils savent que le football, c’est autant une école de talent qu’une école de valeurs.
À 18 ans, il est encore jeune. Mais s’il ne comprend pas vite que la gloire est fragile et que l’humilité est la seule garantie de longévité, il apprendra à ses dépens que le terrain a toujours le dernier mot.
Le football a vu passer beaucoup de génies précoces… Certains ont brillé, d’autres se sont perdus.
Lamine Yamal doit choisir s’il veut être un modèle ou un mirage.
Gilbert KABORE, dit YDGK",Orange Money,lamine yamal talent excus imprudenc lamine yamal joueur talentueux falloir haut fort humilité négocier impos vouloir durer haut niveau talent immense avenir prometteur talent sagesse finir retourner contre propriétaire récent déclaration real madrid traduire confiance immaturité dose imprudenc cracher rival prouver grandeur ressembler élève intelligent impoli bon note mettre règle intelligence respect arrogance maître barcelone former protéger approuver sortie médiatique savoir football autant école talent école valeur jeune comprendre vite gloire fragile humilité garantie longévité apprendre dépens terrain dernier mot football passer beaucoup génie précoce briller perdre lamine yamal choisir vouloir modèle mirage gilbert kabore ydgk,NEGATIVE,0,96,-0.056100693291730605,-0.032704255559082976
153,"Vraiment
Orange Money
je vous félicite pour 0.5% OM Vert mon pays",Orange Money,vraiment orange money féliciter vert pays,NEGATIVE,3,6,-0.18698349245137647,0.48522176706195647
154,Comment vous aurez une bonne connexion avec des publications pareilles,Orange Money,avoir bon connexion publication pareil,POSITIVE,0,5,-0.05953881799184911,-0.026985618028240503
155,"Orange Money
vous êtes les meilleurs.",Orange Money,orange money être meilleur,POSITIVE,3,4,-0.15849699848612211,0.4027925935299503
157,Wep faut croire ! Vous avez gagné,Orange Money,wep falloir croire avoir gagner,NEUTRAL,0,5,-0.053851314105864904,-0.02594629554997989
158,Même orange est fan,Orange Money,orange fan,NEUTRAL,3,2,-0.1119578075926807,0.2043857037291767
159,"Comment moi je souscris 1500f pour reader un seul match et la 35eme minute connexion est finie …ok Yfô
Si moi je fais transfert sur orange encore c’est que je suis au campement",Orange Money,souscrire reader match minute connexion finir yfô transfert orange campement,NEUTRAL,0,10,-0.08697512458253868,0.08403121581295711
160,"J'imagine si vous remportez 2 ou 3 clasico. Au match retour, on ne pleure pas hein. On ne veut pas entendre que tel ou tel est blessé ou l'arbitrage a fait ci ou ça.",Orange Money,imaginer remporter clasico match pleurer hein vouloir entendre blesser arbitrage,POSITIVE,0,10,-0.05092105096756107,-0.029205265146353857
161,Cette photo doit faire le tour du monde ahhhh,Orange Money,photo faire tour monde ahhhh,NEUTRAL,0,5,-0.0570929499199795,-0.04244771932884115
